type,timestamp,price,gross_pnl,fee,net_pnl,capital_after
EXIT,2019-05-06 08:00:00,5699.9594990000005,55.28550576928491,0.4316374716528057,54.853868297632104,1404.619195337279
ENTRY,2019-05-06 16:00:00,5792.147123,0.0,0.21011004323292318,-0.21011004323292318,1404.4090852940462
EXIT,2019-05-16 20:00:00,7864.230023,187.91193423437534,0.28527481692667334,187.62665941744865,1592.0357447114948
ENTRY,2019-05-19 04:00:00,7909.592166,0.0,0.10902521091536806,-0.10902521091536806,1591.9267195005793
EXIT,2019-05-22 04:00:00,7879.855334000001,-1.0247255208337696,0.10861532070703454,-1.1333408415408042,1590.7933786590386
ENTRY,2019-05-22 12:00:00,7941.98188,0.0,0.1719288337107244,-0.1719288337107244,1590.6214498253278
STOP,2019-05-22 20:00:00,7645.750680757429,-16.032108031737437,0.16551599049802942,-16.197624022235466,1574.4238258030923
ENTRY,2019-05-24 04:00:00,7854.625681,0.0,0.1829621511982998,-0.1829621511982998,1574.240863651894
EXIT,2019-05-29 20:00:00,8643.086296000001,45.915125721550794,0.20132820148692013,45.71379752006387,1619.954661171958
ENTRY,2019-05-30 08:00:00,8727.367425,0.0,0.2624829224755535,-0.2624829224755535,1619.6921782494824
STOP,2019-05-30 20:00:00,8509.36456384393,-16.391548939592628,0.2559263028997164,-16.647475242492344,1603.04470300699
ENTRY,2019-06-12 12:00:00,8143.012170999999,0.0,0.20975525326951966,-0.20975525326951966,1602.8349477537204
EXIT,2019-06-29 00:00:00,11612.805113000002,223.44535475888406,0.2991333951730733,223.146221363711,1825.9811691174314
ENTRY,2019-07-03 20:00:00,11943.582,0.0,0.11411757914577507,-0.11411757914577507,1825.8670515382855
STOP,2019-07-04 20:00:00,11175.797183292858,-18.33992193202628,0.10678161037296455,-18.446703542399245,1807.4203479958862
ENTRY,2019-07-05 00:00:00,11157.906368,0.0,0.13154969951539172,-0.13154969951539172,1807.288798296371
EXIT,2019-07-06 04:00:00,11380.654779,6.565408771178228,0.134175863023863,6.431232908154365,1813.7200312045254
ENTRY,2019-07-06 12:00:00,11577.792296,0.0,0.15555492938410515,-0.15555492938410515,1813.5644762751413
EXIT,2019-07-11 04:00:00,11582.704146,0.1649844936671036,0.155620923181572,0.009363570485531603,1813.5738398456267
ENTRY,2019-07-20 16:00:00,10901.929597999999,0.0,0.1425726582098227,-0.1425726582098227,1813.4312671874168
STOP,2019-07-21 12:00:00,10344.120073584885,-18.23722717059408,0.13527776734158506,-18.372504937935663,1795.058762249481
ENTRY,2019-07-21 16:00:00,10409.651959,0.0,0.1829897891050927,-0.1829897891050927,1794.875772460376
EXIT,2019-07-22 12:00:00,10235.358471000001,-7.65970100084277,0.1799259087047556,-7.839626909547526,1787.0361455508285
ENTRY,2019-07-31 12:00:00,10052.654891999999,0.0,0.2773496621913804,-0.2773496621913804,1786.758795888637
EXIT,2019-08-08 12:00:00,11689.302157,112.88648893026108,0.32250425776348485,112.5639846724976,1899.3227805611346
